id,summac_score,method
0,0.6762295081967213,fallback
1,0.5404255319148936,fallback
2,0.6366279069767442,fallback
3,0.6235294117647059,fallback
4,0.6164874551971327,fallback
5,0.424390243902439,fallback
6,0.3705357142857143,fallback
7,0.5229007633587787,fallback
8,0.6532846715328468,fallback
9,0.582010582010582,fallback
10,0.5185185185185185,fallback
11,0.4826254826254826,fallback
12,0.6693227091633466,fallback
13,0.29767441860465116,fallback
14,0.599250936329588,fallback
15,0.45544554455445546,fallback
16,0.5051020408163265,fallback
17,0.49193548387096775,fallback
18,0.5491525423728814,fallback
19,0.5444126074498568,fallback
20,0.569620253164557,fallback
21,0.7307692307692307,fallback
22,0.5970695970695971,fallback
23,0.6641509433962264,fallback
24,0.5377358490566038,fallback
25,0.6909871244635193,fallback
26,0.5306859205776173,fallback
27,0.5148514851485149,fallback
28,0.5862068965517241,fallback
29,0.09302325581395349,fallback
30,0.5707964601769911,fallback
31,0.4727272727272727,fallback
32,0.6405405405405405,fallback
33,0.539906103286385,fallback
34,0.5035460992907801,fallback
35,0.46543778801843316,fallback
36,0.6095890410958904,fallback
37,0.4315245478036176,fallback
38,0.4983277591973244,fallback
39,0.4330708661417323,fallback
40,0.5045454545454545,fallback
41,0.48639455782312924,fallback
42,0.5637065637065637,fallback
43,0.5551601423487544,fallback
44,0.4835164835164835,fallback
45,0.5614035087719298,fallback
46,0.47767857142857145,fallback
48,0.5041666666666667,fallback
49,0.5,fallback
50,0.6,fallback
51,0.542713567839196,fallback
52,0.613013698630137,fallback
53,0.5725806451612904,fallback
54,0.6736111111111112,fallback
55,0.5650557620817844,fallback
56,0.6232876712328768,fallback
57,0.5089285714285714,fallback
58,0.6901840490797546,fallback
59,0.5896414342629482,fallback
60,0.595166163141994,fallback
61,0.6020942408376964,fallback
62,0.4014084507042254,fallback
63,0.4764705882352941,fallback
64,0.63,fallback
65,0.47368421052631576,fallback
66,0.5958549222797928,fallback
67,0.6406779661016949,fallback
68,0.4026548672566372,fallback
69,0.672316384180791,fallback
70,0.5347826086956522,fallback
71,0.4245614035087719,fallback
72,0.488,fallback
73,0.5450819672131147,fallback
74,0.75,fallback
75,0.6640625,fallback
76,0.5077519379844961,fallback
77,0.5870967741935483,fallback
